filename,image_path,cyclone_id,cyclone_name,year,timestamp_utc,latitude,longitude,intensity_knots,imd_category,split
hursat_genesis_2000088N08090_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000088N08090_MISSING_0.npy,2000088N08090,NIO_2000088N08,2000,2000-03-27 12:00:00 UTC,7.5,90.0,25.0,Depression (17-27 kts),train
hursat_genesis_2000088N08090_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000088N08090_MISSING_2.npy,2000088N08090,NIO_2000088N08,2000,2000-03-27 15:00:00 UTC,8.0,89.4,25.0,Depression (17-27 kts),train
hursat_genesis_2000236N17083_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000236N17083_MISSING_0.npy,2000236N17084,NIO_2000236N17,2000,2000-08-23 06:00:00 UTC,16.5,83.0,25.0,Depression (17-27 kts),train
hursat_genesis_2000236N17083_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000236N17083_MISSING_2.npy,2000236N17084,NIO_2000236N17,2000,2000-08-23 09:00:00 UTC,16.4,82.7,25.0,Depression (17-27 kts),train
hursat_genesis_2000289N15089_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000289N15089_MISSING_0.npy,2000289N15089,NIO_2000289N15,2000,2000-10-14 18:00:00 UTC,14.7,89.0,25.0,Depression (17-27 kts),train
hursat_genesis_2000289N15089_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000289N15089_MISSING_2.npy,2000289N15089,NIO_2000289N15,2000,2000-10-14 21:00:00 UTC,14.7,88.7,25.0,Depression (17-27 kts),train
hursat_genesis_2000300N14093_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000300N14093_MISSING_0.npy,2000299N13093,NIO_2000299N13,2000,2000-10-25 12:00:00 UTC,14.0,92.5,25.0,Depression (17-27 kts),train
hursat_genesis_2000300N14093_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000300N14093_MISSING_2.npy,2000299N13093,NIO_2000299N13,2000,2000-10-25 15:00:00 UTC,14.3,92.2,25.0,Depression (17-27 kts),train
hursat_genesis_2000331N09091_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000331N09091_MISSING_0.npy,2000331N09092,NIO_2000331N09,2000,2000-11-26 06:00:00 UTC,9.3,90.8,30.0,Deep Depression (28-33 kts),train
hursat_genesis_2000331N09091_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000331N09091_MISSING_2.npy,2000331N09092,NIO_2000331N09,2000,2000-11-26 09:00:00 UTC,9.3,90.9,33.0,Deep Depression (28-33 kts),train
hursat_genesis_2000358N08086_MISSING_0.npy,data\processed\satellite\hursat_genesis_2000358N08086_MISSING_0.npy,2000358N08086,NIO_2000358N08,2000,2000-12-23 06:00:00 UTC,7.8,85.8,30.0,Deep Depression (28-33 kts),train
hursat_genesis_2000358N08086_MISSING_2.npy,data\processed\satellite\hursat_genesis_2000358N08086_MISSING_2.npy,2000358N08086,NIO_2000358N08,2000,2000-12-23 09:00:00 UTC,7.8,85.4,30.0,Deep Depression (28-33 kts),train
hursat_genesis_2001141N14068_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001141N14068_MISSING_0.npy,2001141N14068,NIO_2001141N14,2001,2001-05-21 06:00:00 UTC,13.7,68.1,25.0,Depression (17-27 kts),train
hursat_genesis_2001141N14068_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001141N14068_MISSING_2.npy,2001141N14068,NIO_2001141N14,2001,2001-05-21 09:00:00 UTC,13.7,68.5,28.0,Deep Depression (28-33 kts),train
hursat_genesis_2001163N20087_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001163N20087_MISSING_0.npy,2001163N20087,NIO_2001163N20,2001,2001-06-12 06:00:00 UTC,19.6,86.8,25.0,Depression (17-27 kts),train
hursat_genesis_2001163N20087_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001163N20087_MISSING_2.npy,2001163N20087,NIO_2001163N20,2001,2001-06-12 09:00:00 UTC,19.8,86.7,25.0,Depression (17-27 kts),train
hursat_genesis_2001267N17070_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001267N17070_MISSING_0.npy,2001267N17070,NIO_2001267N17,2001,2001-09-24 00:00:00 UTC,16.6,69.8,25.0,Depression (17-27 kts),train
hursat_genesis_2001267N17070_MISSING_1.npy,data\processed\satellite\hursat_genesis_2001267N17070_MISSING_1.npy,2001267N17070,NIO_2001267N17,2001,2001-09-24 03:00:00 UTC,16.6,69.7,25.0,Depression (17-27 kts),train
hursat_genesis_2001267N17070_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001267N17070_MISSING_2.npy,2001267N17070,NIO_2001267N17,2001,2001-09-24 06:00:00 UTC,16.7,69.5,25.0,Depression (17-27 kts),train
hursat_genesis_2001281N18071_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001281N18071_MISSING_0.npy,2001281N18071,NIO_2001281N18,2001,2001-10-08 06:00:00 UTC,17.7,70.8,25.0,Depression (17-27 kts),train
hursat_genesis_2001281N18071_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001281N18071_MISSING_2.npy,2001281N18071,NIO_2001281N18,2001,2001-10-08 09:00:00 UTC,17.8,70.5,25.0,Depression (17-27 kts),train
hursat_genesis_2001281N18071_MISSING_3.npy,data\processed\satellite\hursat_genesis_2001281N18071_MISSING_3.npy,2001281N18071,NIO_2001281N18,2001,2001-10-08 12:00:00 UTC,17.9,70.2,25.0,Depression (17-27 kts),train
hursat_genesis_2001288N14084_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001288N14084_MISSING_0.npy,2001288N13084,NIO_2001288N13,2001,2001-10-14 12:00:00 UTC,13.5,84.0,25.0,Depression (17-27 kts),train
hursat_genesis_2001288N14084_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001288N14084_MISSING_2.npy,2001288N13084,NIO_2001288N13,2001,2001-10-14 15:00:00 UTC,13.5,83.4,25.0,Depression (17-27 kts),train
hursat_genesis_2001313N12084_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001313N12084_MISSING_0.npy,2001313N12084,NIO_2001313N12,2001,2001-11-09 00:00:00 UTC,12.0,83.6,25.0,Depression (17-27 kts),train
hursat_genesis_2001313N12084_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001313N12084_MISSING_2.npy,2001313N12084,NIO_2001313N12,2001,2001-11-09 03:00:00 UTC,12.5,83.3,25.0,Depression (17-27 kts),train
hursat_genesis_2001315N17084_MISSING_0.npy,data\processed\satellite\hursat_genesis_2001315N17084_MISSING_0.npy,2001313N12084,NIO_2001313N12,2001,2001-11-11 06:00:00 UTC,15.4,83.4,30.0,Deep Depression (28-33 kts),train
hursat_genesis_2001315N17084_MISSING_2.npy,data\processed\satellite\hursat_genesis_2001315N17084_MISSING_2.npy,2001313N12084,NIO_2001313N12,2001,2001-11-11 09:00:00 UTC,15.5,83.8,30.0,Deep Depression (28-33 kts),train
hursat_genesis_2002126N09068_MISSING_0.npy,data\processed\satellite\hursat_genesis_2002126N09068_MISSING_0.npy,2002126N09068,NIO_2002126N09,2002,2002-05-05 18:00:00 UTC,8.6,67.7,25.0,Depression (17-27 kts),train
hursat_genesis_2002126N09068_MISSING_2.npy,data\processed\satellite\hursat_genesis_2002126N09068_MISSING_2.npy,2002126N09068,NIO_2002126N09,2002,2002-05-05 21:00:00 UTC,8.6,67.5,25.0,Depression (17-27 kts),train
hursat_genesis_2002129N08096_MISSING_0.npy,data\processed\satellite\hursat_genesis_2002129N08096_MISSING_0.npy,2002129N08096,NIO_2002129N08,2002,2002-05-09 06:00:00 UTC,8.4,95.5,25.0,Depression (17-27 kts),train
hursat_genesis_2002129N08096_MISSING_2.npy,data\processed\satellite\hursat_genesis_2002129N08096_MISSING_2.npy,2002129N08096,NIO_2002129N08,2002,2002-05-09 09:00:00 UTC,8.7,95.3,28.0,Deep Depression (28-33 kts),train
hursat_genesis_2002296N14082_MISSING_0.npy,data\processed\satellite\hursat_genesis_2002296N14082_MISSING_0.npy,2002295N14082,NIO_2002295N14,2002,2002-10-22 12:00:00 UTC,13.5,81.5,25.0,Depression (17-27 kts),train
hursat_genesis_2002296N14082_MISSING_2.npy,data\processed\satellite\hursat_genesis_2002296N14082_MISSING_2.npy,2002295N14082,NIO_2002295N14,2002,2002-10-22 15:00:00 UTC,13.7,81.5,25.0,Depression (17-27 kts),train
hursat_genesis_2002314N12083_MISSING_0.npy,data\processed\satellite\hursat_genesis_2002314N12083_MISSING_0.npy,2002314N12083,NIO_2002314N12,2002,2002-11-09 18:00:00 UTC,11.7,82.5,25.0,Depression (17-27 kts),train
hursat_genesis_2002314N12083_MISSING_2.npy,data\processed\satellite\hursat_genesis_2002314N12083_MISSING_2.npy,2002314N12083,NIO_2002314N12,2002,2002-11-09 21:00:00 UTC,11.8,82.5,25.0,Depression (17-27 kts),train
